accuracy,precision,recall,f1_score,roc_auc,model
0.837249373433584,0.8184838685386221,0.837249373433584,0.822446200593645,0.8355223261188894,XGBoost
0.8295739348370927,0.819342912616479,0.8295739348370927,0.8234903133745075,0.8292939118339132,Ensemble
0.818609022556391,0.7940073332791338,0.818609022556391,0.8008460393798739,0.7694140823954064,Neural Network
