coral_sample,site,id,date_collected,time,direction,distance_from_0_m,left_or_right_of_transect,distance_from_transect_cm,length_cm,width_cm,growth_morph_branch_plate_hybrid_ljrj_fd,notes_ljrj,growth_morph_branch_plate_hybrid_dc,color,health_at_collection_(dc),fluorescence_(y/n_-_color),notes,health_1_(dc_-_9/18-19),health_2_(dc_-_10/3-4),health_2_(cc/mrds-_10/3-4)
2_1_11,2_1,131,20170811,1330.0,West,1.5,Under,,>100,>100,Branch,,Branch,Orange,,,,2.0,3.0,2.0
2_1_12,2_1,132,20170811,1330.0,South,3.3,Under,,130,26,Branch,,Branch,Orange,,,,,3.0,3.0
2_1_13,2_1,133,20170811,1330.0,South,4.6,Left,30,89,61,Branch,,Branch,Orange,,,,,3.0,3.0
2_1_14,2_1,134,20170811,1330.0,South,5.5,Under,,>100,>100,Branch,,Branch,Orange,,,,,3.0,3.0
2_1_15,2_1,135,20170811,1330.0,South,6.4,Under,,73,67,Branch,,Branch,Brown,,,,,,
2_1_16,2_1,136,20170811,1330.0,South,7.8,Left,40,46,30,Branch,,Branch,Brown,,,,,2.5,2.0
2_1_17,2_1,137,20170811,1330.0,South,8.9,Left,65,33,21,Branch,,Branch,Brown,,,,,2.0,
2_1_18,2_1,138,20170811,1330.0,South,9.5,Under,,>100,>100,Branch,,Branch,Orange,,,,,2.0,3.0
2_1_19,2_1,139,20170811,1330.0,East,3.1,Under,,>100,>100,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_1_20,2_1,140,20170811,1330.0,East,4.2,Under,,>100,>100,Hybrid,,Hybrid,Brown,,,,3.0,3.0,3.0
2_2_1,2_2,141,20170814,1230.0,West,1,Right,65,>100,>100,Branch,,Branch,Orange,,,,,3.0,
2_2_2,2_2,142,20170814,1230.0,West,1.3,Left,70,>100,70,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_2_3,2_2,143,20170814,1230.0,West,3.1,Right,20,>100,65,Branch,,Branch,Orange,,,,2.0,2.0,2.0
2_2_4,2_2,144,20170814,1230.0,West,4.1,Right,30,>100,50,Branch,,Branch,Orange,,,,3.0,3.0,2.0
2_2_5,2_2,145,20170814,1230.0,West,5.6,Under,,80,40,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_2_6,2_2,146,20170814,1230.0,West,5.8,Right,50,80,80,Branch,,Branch,Orange,,,,,3.0,2.0
2_2_7,2_2,147,20170814,1230.0,West,7,Under,,50,30,Branch,,Branch,Brown,,,,2.0,2.0,2.0
2_2_8,2_2,148,20170814,1230.0,West,8.3,Right,30,55,50,Branch,,Branch,Orange,,,,2.0,2.0,
2_2_9,2_2,149,20170814,1230.0,West,9.8,Under,,>100,60,Branch,,Branch,Orange,,,,,,
2_2_10,2_2,150,20170814,1230.0,South,1.3,Under,,50,25,Branch,,Branch,Orange,,,,3.0,3.0,2.0
2_2_11,2_2,151,20170814,1230.0,South,3.2,Left,65,>100,35,Hybrid,,Hybrid,Orange,,,,3.0,2.0,2.0
2_2_12,2_2,152,20170814,1230.0,South,3.8,Under,,35,20,Branch,half dead,Branch,Orange,,,,3.0,3.0,3.0
2_2_13,2_2,153,20170814,1230.0,South,5.1,Under,,>100,70,Hybrid,,Hybrid,Orange,,,,3.0,2.5,3.0
2_2_14,2_2,154,20170814,1230.0,South,6.1,Under,,65,30,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_2_15,2_2,155,20170814,1230.0,South,7,Right,55,65,40,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_2_16,2_2,156,20170814,1230.0,South,7.7,Under,,40,60,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_2_17,2_2,157,20170814,1230.0,South,8.4,Under,,70,35,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_2_18,2_2,158,20170814,1230.0,South,8.8,Right,60,35,20,Hybrid,,Hybrid,Orange,,,,2.0,2.0,2.0
2_2_19,2_2,159,20170814,1230.0,South,9.6,Under,,>100,>100,Branch,,Hybrid,Orange,,,,2.0,2.0,2.0
2_2_20,2_2,160,20170814,1230.0,South,10.3,Left,45,30,25,Branch,,Branch,Orange,,,,2.0,3.0,
2_3_1,2_3,161,20170822,1700.0,West,1,Right,65,35,10,Branch,put out new hobo because couldn't find original; new way point,Branch,Orange,3.0,Y - yellow,,3.0,3.0,3.0
2_3_2,2_3,162,20170822,1700.0,West,1,Left,60,35,15,Branch,,Branch,Brown,3.0,,,3.0,3.0,2.0
2_3_3,2_3,163,20170822,1700.0,West,1.6,Left,60,30,15,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
2_3_4,2_3,164,20170822,1700.0,West,2,Right,35,25,20,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
2_3_5,2_3,165,20170822,1700.0,West,2,Right,175,35,25,Branch,,Branch,Brown,3.0,,,3.0,2.0,2.0
2_3_6,2_3,166,20170822,1700.0,West,3.5,Right,185,70,35,Branch,,Branch,Brown,3.0,,,2.0,2.0,2.0
2_3_7,2_3,167,20170822,1700.0,West,4.9,Left,120,15,10,Branch,,Branch,Orange,3.0,,,,2.0,2.0
2_3_8,2_3,168,20170822,1700.0,West,5.6,Left,50,20,15,Branch,,Branch,Brown,3.0,,,3.0,3.0,3.0
2_3_9,2_3,169,20170822,1700.0,West,6.2,Right,25,25,15,Branch,,Branch,Brown,2.0,,,3.0,2.0,1.0
2_3_10,2_3,170,20170822,1700.0,West,5.1,Right,200,20,15,Branch,,Branch,Orange,2.0,,,3.0,2.0,1.0
2_3_11,2_3,171,20170822,1700.0,West,9.1,Left,130,35,15,Branch,on slope,Branch,Brown,2.0,,,,,
2_3_12,2_3,172,20170822,1700.0,West,9.8,Right,110,90,90,Branch,on slope,Branch,Orange,3.0,,,,,2.0
2_3_13,2_3,173,20170822,1700.0,South,1,Left,25,30,10,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
2_3_14,2_3,174,20170822,1700.0,South,1.7,Under,,25,10,Branch,,Branch,Orange,3.0,,,,3.0,3.0
2_3_15,2_3,175,20170822,1700.0,South,2.2,Left,135,20,15,Branch,,Branch,Orange,3.0,,,,2.0,1.0
2_3_16,2_3,176,20170822,1700.0,South,2.6,Under,,30,15,Branch,,Branch,Orange,3.0,,,,3.0,3.0
2_3_17,2_3,177,20170822,1700.0,South,3.5,Under,,30,20,Branch,,Hybrid,Orange,3.0,,,,2.0,2.0
2_3_18,2_3,178,20170822,1700.0,South,4.2,Left,25,35,25,Branch,,Branch,Orange,3.0,,,,3.0,3.0
2_3_19,2_3,179,20170822,1700.0,South,4.6,Right,45,25,20,Branch,,Branch,Orange,3.0,,,,2.0,
2_3_20,2_3,180,20170822,1700.0,South,5.8,Left,30,30,30,Branch,,Hybrid,Orange,3.0,Y - yellow,,,3.0,
2_4_1,2_4,181,20170811,1145.0,West,1,Left,10,70,60,Branch,,Branch,Brown,,,,,,
2_4_2,2_4,182,20170811,1145.0,West,4.7,Left,80,100,50,Branch,,Branch,Orange,,,,,,
2_4_3,2_4,183,20170811,1145.0,West,5.4,Left,30,70,47,Branch,,Branch,Orange,,,,,,
2_4_4,2_4,184,20170811,1145.0,West,5.4,Right,50,43,28,Branch,,Branch,Orange,,,,,,
2_4_5,2_4,185,20170811,1145.0,West,6.9,Right,85,85,48,Branch,,Branch,Brown,,,,,,
2_4_6,2_4,186,20170811,1145.0,West,7.3,Right,0,43,31,Branch,,Branch,Brown,,,,,,
2_4_7,2_4,187,20170811,1145.0,West,7.9,Right,55,39,15,Branch,,Branch,Orange,,,,,,
2_4_8,2_4,188,20170811,1145.0,West,9,Right,5,35,20,Branch,,Hybrid,Brown,,,,,,
2_4_9,2_4,189,20170811,1145.0,West,10,Under,,45,24,Branch,,Branch,Brown,,,,,,
2_4_10,2_4,190,20170811,1145.0,South,0.5,Left,5,110,50,Branch,,Branch,Orange,,,,2.0,3.0,3.0
2_4_11,2_4,191,20170811,1145.0,South,2.5,Left,15,60,50,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_4_12,2_4,192,20170811,1145.0,South,3.7,Right,60,68,21,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_4_13,2_4,193,20170811,1145.0,South,4,Left,70,117,66,Branch,,Branch,Brown,,,,3.0,2.0,2.0
2_4_14,2_4,194,20170811,1145.0,South,4.8,Under,,68,22,Branch,,Branch,Orange,,,,2.0,3.0,
2_4_15,2_4,195,20170811,1145.0,South,6.4,Left,60,70,32,Branch,,Branch,Brown,,,,2.0,2.0,2.0
2_4_16,2_4,196,20170811,1145.0,South,6.6,Under,,53,19,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_4_17,2_4,197,20170811,1145.0,South,7.7,Right,55,46,32,Branch,,Hybrid,Brown,,,,2.0,2.0,2.0
2_4_18,2_4,198,20170811,1145.0,South,8.3,Left,35,36,16,Branch,,Branch,Orange,,,,,,3.0
2_4_19,2_4,199,20170811,1145.0,South,8.7,Right,40,70,40,Branch,,Branch,Brown,,,,2.0,1.5,2.0
2_4_20,2_4,200,20170811,1145.0,South,10,Left,5,23,22,Branch,,Branch,Orange,,,,,3.0,3.0
2_7_1,2_7,201,20170815,1350.0,West,1,Under,,60,40,Branch,,Branch,Orange,3.0,,,,,3.0
2_7_2,2_7,202,20170815,1350.0,West,1.8,Left,40,75,40,Branch,,Branch,Brown,2.0,,,3.0,3.0,3.0
2_7_3,2_7,203,20170815,1350.0,West,2.8,Under,,85,60,Branch,,Hybrid,Orange,2.0,,,3.0,3.0,
2_7_4,2_7,204,20170815,1350.0,West,3.4,Under,,70,70,Branch,,Hybrid,Brown,3.0,,,3.0,3.0,
2_7_5,2_7,205,20170815,1350.0,West,4.2,Under,,35,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
2_7_6,2_7,206,20170815,1350.0,West,5,Right,20,60,40,Branch,,Branch,Brown,1.0,,,3.0,3.0,3.0
2_7_7,2_7,207,20170815,1350.0,West,6.1,Right,30,60,45,Branch,,Hybrid,Orange,2.0,,,2.0,2.0,
2_7_8,2_7,208,20170815,1350.0,West,6.5,Under,,40,25,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
