site,depth_m
1_10,3.0
1_2,1.2
1_3,3.0
1_4,3.5
1_6,0.7
1_9,2.6
2_1,1.2
2_2,0.5
2_3,0.5
2_4,2.4
2_7,1.5
2_8,2.1
3_2,1.4
3_3,1.0
3_4,1.0
3_5,0.9
3_6,0.9
3_7,0.7
4_11,1.4
4_14,1.4
4_4,1.4
4_5,1.1
4_6,1.5
4_8,1.2
5_1,1.2
5_2,2.7
5_3,2.4
5_6,3.5
5_7,3.3
5_8,3.2
