Sample	Site	Direction	Left_or_Right_of_transect	DC_distance_fr_0_m	DT_distance_fr_transect_m	X	Y
248	3_2	West	Right	9.7	0.6	0.6	9.7
249	3_2	South	Left	6.4	1.35	-6.4	-1.35
250	3_2	South	Left	7.5	0.3	-7.5	-0.3
251	3_2	South	Left	8.4	1.1	-8.4	-1.1
252	3_2	South	Under	9	0	-9	0
253	3_2	South	Right	9.1	0.65	-9.1	0.65
254	3_2	South	Right	9.5	0.4	-9.5	0.4
255	3_2	South	Left	9.5	0.25	-9.5	-0.25
256	3_2	South	Under	10.4	0	-10.4	0
257	3_2	East	Left	6.8	1.3	1.3	-6.8
261	3_3	West	Right	6.8	1.6	1.6	6.8
262	3_3	West	Right	7.8	0.55	0.55	7.8
263	3_3	South	Right	4.8	0.15	-4.8	0.15
264	3_3	South	Left	5.1	0.3	-5.1	-0.3
265	3_3	South	Right	7.2	1.6	-7.2	1.6
266	3_3	South	Right	9.1	1.4	-9.1	1.4
267	3_3	South	Left	9	0.45	-9	-0.45
268	3_3	South	Right	9.4	0.6	-9.4	0.6
269	3_3	South	Left	10.4	0.45	-10.4	-0.45
270	3_3	East	Right	10.3	0.15	-0.15	-10.3
271	3_3	East	Left	10.2	0.85	0.85	-10.2
272	3_3	East	Under	8.6	0	0	-8.6
273	3_3	East	Right	4.8	1.2	-1.2	-4.8
281	3_4	West	Right	3.4	0.012	0.012	3.4
282	3_4	West	Left	3.9	0.1	-0.1	3.9
283	3_4	West	Under	5.8	0	0	5.8
284	3_4	West	Right	5.8	1	1	5.8
285	3_4	West	Right	8.4	0.55	0.55	8.4
286	3_4	West	Right	10	0.4	0.4	10
287	3_4	South	Left	1.2	0.2	-1.2	-0.2
288	3_4	South	Left	2	0.45	-2	-0.45
289	3_4	South	Left	1.9	1.6	-1.9	-1.6
290	3_4	South	Left	4.3	1.1	-4.3	-1.1
291	3_4	South	Under	5.5	0	-5.5	0
292	3_4	South	Under	6	0	-6	0
293	3_4	South	Under	8	0	-8	0
294	3_4	South	Right	8.8	0.65	-8.8	0.65
295	3_4	South	Left	10	0.25	-10	-0.25
296	3_4	East	Under	1.6	0	0	-1.6
297	3_4	East	Under	2.3	0	0	-2.3
298	3_4	East	Right	2.3	0.6	-0.6	-2.3
299	3_4	East	Under	3.5	0	0	-3.5
300	3_4	East	Left	4.7	0.2	0.2	-4.7
301	3_5	West	Left	1.5	0.2	-0.2	1.5
302	3_5	West	Right	2.3	0.5	0.5	2.3
303	3_5	West	Left	3.1	1.4	-1.4	3.1
304	3_5	West	Right	6	1.3	1.3	6
306	3_5	West	Left	6.6	1.55	-1.55	6.6
307	3_5	West	Right	7.8	0.35	0.35	7.8
308	3_5	South	Under	1	0	-1	0
309	3_5	South	Right	1.6	0.2	-1.6	0.2
310	3_5	South	Left	1.9	0.65	-1.9	-0.65
311	3_5	South	Right	2.6	1.35	-2.6	1.35
312	3_5	South	Left	3.2	0.55	-3.2	-0.55
313	3_5	South	Left	4.1	0.5	-4.1	-0.5
314	3_5	South	Right	4.4	0.25	-4.4	0.25
315	3_5	South	Left	4.7	0.45	-4.7	-0.45
316	3_5	South	Right	5.4	0.3	-5.4	0.3
317	3_5	South	Left	6.3	0.8	-6.3	-0.8
318	3_5	South	Right	7.3	1.4	-7.3	1.4
319	3_5	South	Left	8.6	0.9	-8.6	-0.9
320	3_5	South	Right	9	0.25	-9	0.25
321	3_6	West	Right	0.9	0.1	0.1	0.9
322	3_6	West	Right	1.3	0.9	0.9	1.3
323	3_6	West	Left	1.8	0.1	-0.1	1.8
324	3_6	West	Left	2.7	0.3	-0.3	2.7
325	3_6	West	Right	3.3	1.1	1.1	3.3
326	3_6	West	Right	3.5	0.3	0.3	3.5
327	3_6	West	Left	3.5	0.6	-0.6	3.5
328	3_6	West	Right	4.1	0.4	0.4	4.1
329	3_6	West	Left	5.6	0.2	-0.2	5.6
330	3_6	West	Right	5.8	0.2	0.2	5.8
331	3_6	West	Left	7	0.7	-0.7	7
332	3_6	West	Right	7.8	0.6	0.6	7.8
333	3_6	West	Left	9	1	-1	9
334	3_6	West	Right	9.2	0.15	0.15	9.2
335	3_6	South	Under	0.9	0	-0.9	0
336	3_6	South	Left	1.9	1	-1.9	-1
337	3_6	South	Left	3.2	1.3	-3.2	-1.3
338	3_6	South	Right	3.7	1.25	-3.7	1.25
339	3_6	South	Right	4.6	0.25	-4.6	0.25
340	3_6	South	Under	5.3	0	-5.3	0
341	3_7	East	Left	4.6	0.7	0.7	-4.6
342	3_7	East	Right	4	1	-1	-4
343	3_7	East	Right	5	0.2	-0.2	-5
344	3_7	East	Left	5.8	0.5	0.5	-5.8
345	3_7	East	Left	7.1	1.35	1.35	-7.1
346	3_7	East	Under	7.5	0	0	-7.5
347	3_7	East	Right	7.7	0.6	-0.6	-7.7
348	3_7	East	Right	8.3	0.35	-0.35	-8.3
349	3_7	East	Left	8.5	0.3	0.3	-8.5
350	3_7	East	Right	9.1	0.35	-0.35	-9.1
351	3_7	East	Right	9.8	0.3	-0.3	-9.8
352	3_7	East	Left	10.4	0.35	0.35	-10.4
353	3_7	North	Left	0.7	0.2	0.7	0.2
354	3_7	North	Right	1	0.7	1	-0.7
355	3_7	North	Right	2.3	1	2.3	-1
356	3_7	North	Right	4.8	0.5	4.8	-0.5
357	3_7	North	Right	6.6	0.35	6.6	-0.35
358	3_7	North	Right	9	1.5	9	-1.5
359	3_7	North	Under	9.9	0	9.9	0
360	3_7	North	Left	9.9	0.5	9.9	0.5
361	4_4	West	Left	0.6	0.55	-0.55	0.6
362	4_4	West	Right	1.3	0.55	0.55	1.3
363	4_4	West	Under	1.8	0	0	1.8
364	4_4	West	Left	1.6	1.1	-1.1	1.6
365	4_4	West	Left	2.3	0.7	-0.7	2.3
366	4_4	West	Right	3.2	1.1	1.1	3.2
367	4_4	West	Under	5.8	0	0	5.8
368	4_4	West	Right	5.8	0.7	0.7	5.8
369	4_4	West	Left	6.6	0.85	-0.85	6.6
370	4_4	West	Right	8.3	0.7	0.7	8.3
371	4_4	West	Under	9.4	0	0	9.4
372	4_4	South	Under	2	0	-2	0
373	4_4	South	Right	2.8	1.5	-2.8	1.5
374	4_4	South	Under	4.3	0	-4.3	0
375	4_4	South	Left	5.4	0.3	-5.4	-0.3
376	4_4	South	Under	5.8	0	-5.8	0
377	4_4	South	Left	6.6	0.6	-6.6	-0.6
378	4_4	South	Right	7	0.5	-7	0.5
379	4_4	South	Under	8.5	0	-8.5	0
380	4_4	South	Under	9.6	0	-9.6	0
381	4_5	West	Left	1.1	1.15	-1.15	1.1
382	4_5	West	Right	1.7	1.2	1.2	1.7
383	4_5	West	Right	2	0.25	0.25	2
384	4_5	West	Left	2.5	1.3	-1.3	2.5
385	4_5	West	Left	3.5	2	-2	3.5
386	4_5	West	Right	7	0.45	0.45	7
387	4_5	West	Right	7.7	0.25	0.25	7.7
388	4_5	West	Under	8.8	0	0	8.8
389	4_5	West	Left	8.8	0.8	-0.8	8.8
390	4_5	West	Left	9.2	1.6	-1.6	9.2
391	4_5	West	Under	9.5	0	0	9.5
392	4_5	West	Right	9.5	1.15	1.15	9.5
393	4_5	South	Under	1.4	0	-1.4	0
394	4_5	South	Right	1.7	0.2	-1.7	0.2
395	4_5	South	Right	4.5	1.25	-4.5	1.25
396	4_5	South	Right	5.3	2	-5.3	2
397	4_5	South	Right	8	0.7	-8	0.7
398	4_5	South	Right	7.7	2	-7.7	2
399	4_5	South	Left	9.2	2	-9.2	-2
400	4_5	East	Right	5	1.75	-1.75	-5
402	4_6	West	Left	2.7	0.7	-0.7	2.7
403	4_6	West	Left	3.2	1.25	-1.25	3.2
404	4_6	West	Left	3.7	0.65	-0.65	3.7
405	4_6	West	Right	3.9	1.1	1.1	3.9
406	4_6	West	Left	4.8	0.85	-0.85	4.8
407	4_6	West	Right	4.9	1.1	1.1	4.9
408	4_6	West	Left	5.7	0.6	-0.6	5.7
409	4_6	West	Left	7.4	1.6	-1.6	7.4
410	4_6	West	Left	7.7	0.25	-0.25	7.7
411	4_6	West	Under	8.7	0	0	8.7
412	4_6	West	Under	9.4	0	0	9.4
413	4_6	West	Left	10.2	0.8	-0.8	10.2
414	4_6	South	Left	0.7	0.25	-0.7	-0.25
415	4_6	South	Under	2.9	0	-2.9	0
416	4_6	South	Left	4.1	0.9	-4.1	-0.9
417	4_6	South	Left	4.5	0.1	-4.5	-0.1
418	4_6	South	Right	3.4	2	-3.4	2
419	4_6	South	Right	6	0.5	-6	0.5
420	4_6	South	Right	6.7	0.2	-6.7	0.2
421	4_8	West	Right	2.2	0.6	0.6	2.2
422	4_8	West	Under	3.5	0	0	3.5
423	4_8	West	Right	4.2	0.45	0.45	4.2
424	4_8	West	Left	4.6	0.05	-0.05	4.6
425	4_8	West	Under	5.4	0	0	5.4
426	4_8	West	Left	6.3	0.75	-0.75	6.3
427	4_8	West	Right	6.9	1	1	6.9
428	4_8	West	Right	7.4	0.5	0.5	7.4
429	4_8	West	Left	8.7	2	-2	8.7
430	4_8	West	Under	8.9	0	0	8.9
431	4_8	West	Right	9.7	0.35	0.35	9.7
432	4_8	South	Right	1.3	1.15	-1.3	1.15
433	4_8	South	Left	3.5	1.1	-3.5	-1.1
434	4_8	South	Left	3.6	0.05	-3.6	-0.05
435	4_8	South	Under	5	0	-5	0
436	4_8	South	Right	6.5	0.2	-6.5	0.2
437	4_8	South	Right	7.2	0.7	-7.2	0.7
438	4_8	South	Right	9.6	0.35	-9.6	0.35
439	4_8	East	Under	2.5	0	0	-2.5
440	4_8	East	Left	4	0.05	0.05	-4
441	4_11	West	Under	1.2	0	0	1.2
442	4_11	West	Right	2.2	1.3	1.3	2.2
443	4_11	West	Under	3	0	0	3
444	4_11	West	Under	5	0	0	5
445	4_11	West	Right	6.9	0.8	0.8	6.9
446	4_11	West	Under	7.3	0	0	7.3
448	4_11	West	Right	10	0.35	0.35	10
449	4_11	South	Left	0.9	0.8	-0.9	-0.8
450	4_11	South	Right	1.5	0.9	-1.5	0.9
451	4_11	South	Under	2.5	0	-2.5	0
452	4_11	South	Under	4.2	0	-4.2	0
453	4_11	South	Left	4.3	0.35	-4.3	-0.35
454	4_11	South	Right	7	1.8	-7	1.8
455	4_11	South	Right	8.4	0.75	-8.4	0.75
456	4_11	South	Right	8.9	0.2	-8.9	0.2
457	4_11	South	Left	10.5	0.55	-10.5	-0.55
458	4_11	East	Under	1.5	0	0	-1.5
459	4_11	East	Left	2.6	0.7	0.7	-2.6
460	4_11	East	Left	3.9	0.25	0.25	-3.9
461	4_14	West	Under	1.1	0	0	1.1
462	4_14	West	Under	1.7	0	0	1.7
463	4_14	West	Right	2.6	0.95	0.95	2.6
464	4_14	West	Left	2.2	0.2	-0.2	2.2
465	4_14	West	Left	6.2	0.25	-0.25	6.2
467	4_14	West	Right	6.9	0.15	0.15	6.9
468	4_14	West	Right	7.6	0.75	0.75	7.6
469	4_14	West	Under	8	0	0	8
470	4_14	South	Right	1.5	1	-1.5	1
471	4_14	South	Right	2.2	0.55	-2.2	0.55
472	4_14	South	Left	3.2	0.65	-3.2	-0.65
473	4_14	South	Left	9.9	1.15	-9.9	-1.15
475	4_14	East	Left	1	1.4	1.4	-1
476	4_14	East	Left	2.4	0.45	0.45	-2.4
477	4_14	East	Right	4.4	0.2	-0.2	-4.4
478	4_14	East	Right	6	0.65	-0.65	-6
479	4_14	East	Right	7.2	0.2	-0.2	-7.2
481	5_1	West	Left	9.3	0.3	-0.3	9.3
482	5_1	West	Left	9.7	0.2	-0.2	9.7
483	5_1	West	Right	10.4	1	1	10.4
484	5_1	West	Left	10.3	1	-1	10.3
485	5_1	South	Right	1.9	0.3	-1.9	0.3
486	5_1	South	Under	2.4	0	-2.4	0
487	5_1	South	Left	3.5	0.2	-3.5	-0.2
488	5_1	South	Right	4.4	0.35	-4.4	0.35
489	5_1	South	Under	5.9	0	-5.9	0
490	5_1	South	Left	5.9	0.6	-5.9	-0.6
491	5_1	South	Under	7.6	0	-7.6	0
492	5_1	South	Right	7.8	1	-7.8	1
493	5_1	South	Right	8.6	1.6	-8.6	1.6
494	5_1	East	Right	1.2	0.45	-0.45	-1.2
495	5_1	East	Under	1.5	0	0	-1.5
496	5_1	East	Right	2	0.35	-0.35	-2
497	5_1	East	Left	2.4	0.1	0.1	-2.4
498	5_1	East	Right	3.3	0.25	-0.25	-3.3
499	5_1	East	Under	3.3	0	0	-3.3
500	5_1	East	Left	4.1	1.6	1.6	-4.1
501	5_2	West	Under	0.8	0	0	0.8
502	5_2	West	Left	1	0.4	-0.4	1
503	5_2	West	Left	1.2	0.4	-0.4	1.2
504	5_2	West	Left	1.7	0.7	-0.7	1.7
505	5_2	West	Under	1.5	0	0	1.5
506	5_2	West	Right	1.6	0.25	0.25	1.6
507	5_2	West	Right	2	0.5	0.5	2
508	5_2	West	Right	2.2	0.1	0.1	2.2
509	5_2	West	Under	2	0	0	2
510	5_2	West	Left	2.7	0.8	-0.8	2.7
511	5_2	West	Under	2.8	0	0	2.8
512	5_2	West	Right	2.8	0.2	0.2	2.8
513	5_2	West	Left	4.1	0.8	-0.8	4.1
514	5_2	West	Left	4.2	1	-1	4.2
515	5_2	West	Right	4.4	0.2	0.2	4.4
516	5_2	West	Right	5	0.2	0.2	5
517	5_2	West	Under	5.6	0	0	5.6
518	5_2	West	Left	6	0.45	-0.45	6
519	5_2	West	Right	7.9	1.1	1.1	7.9
520	5_2	West	Under	8.8	0	0	8.8
521	5_3	West	Right	0.3	1.05	1.05	0.3
522	5_3	West	Left	0.7	2	-2	0.7
523	5_3	West	Left	1.4	1.6	-1.6	1.4
524	5_3	West	Left	2	1.85	-1.85	2
525	5_3	West	Left	3.3	0.8	-0.8	3.3
526	5_3	West	Right	2.5	0.3	0.3	2.5
527	5_3	West	Right	3.4	0.1	0.1	3.4
528	5_3	West	Left	3.9	0.1	-0.1	3.9
529	5_3	West	Left	4.1	0.4	-0.4	4.1
530	5_3	West	Under	4.7	0	0	4.7
531	5_3	West	Right	4.5	0.8	0.8	4.5
532	5_3	West	Right	5.8	1	1	5.8
533	5_3	West	Right	6.1	0.1	0.1	6.1
534	5_3	West	Left	6.4	0.15	-0.15	6.4
535	5_3	West	Under	6.8	0	0	6.8
536	5_3	West	Under	7.5	0	0	7.5
537	5_3	West	Under	8	0	0	8
538	5_3	West	Left	8.5	0.1	-0.1	8.5
539	5_3	West	Under	9	0	0	9
540	5_3	West	Right	9.7	1	1	9.7
541	5_6	West	Left	0.5	0.3	-0.3	0.5
542	5_6	West	Left	0.9	0.5	-0.5	0.9
543	5_6	West	Right	1.2	1.5	1.5	1.2
544	5_6	West	Right	1.4	1	1	1.4
545	5_6	West	Right	2	0.3	0.3	2
546	5_6	West	Right	1.9	0.3	0.3	1.9
548	5_6	West	Right	3.1	0.1	0.1	3.1
549	5_6	West	Under	3.4	0	0	3.4
550	5_6	West	Left	4.1	0.7	-0.7	4.1
551	5_6	West	Right	3.9	0.1	0.1	3.9
552	5_6	West	Right	4.8	1.2	1.2	4.8
553	5_6	West	Right	5	0.5	0.5	5
554	5_6	West	Under	5.9	0	0	5.9
555	5_6	West	Right	7	0.9	0.9	7
556	5_6	West	Under	7	0	0	7
557	5_6	West	Right	9	0.5	0.5	9
